obs_mean,obs_var,act_mean,act_var,cumulative_reward,cumulative_cost,reward_mean,reward_var,cost_mean,cost_var,terminal,timeout,trajectory_length
"[ 2.06229627e-01  1.95013210e-01  9.80997181e+00  5.27529418e-01
 -5.85460588e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.18656683e+00 -5.66645637e-02 -7.17759579e-02  0.00000000e+00
  3.40492427e-01  1.04569703e-01  5.62853739e-02  5.55592068e-02
  5.48438057e-02  5.50581217e-02  4.32568416e-02  2.61643119e-02
  1.56444889e-02  9.13253799e-03  5.28384652e-03  3.70362261e-03
  2.95111700e-03  1.20999606e-03  6.70971423e-02  3.30457449e-01
  3.71362299e-01  4.23855335e-01  3.75323981e-01  3.64908576e-01
  3.62571478e-01  3.55413914e-01  2.79540092e-01  2.21537009e-01
  2.29997650e-01  2.95136660e-01  3.39691490e-01  3.24375600e-01
  3.26467216e-01  3.52556348e-01  3.44718099e-01  3.08749706e-01
  6.89466000e-02  8.20741281e-02  1.02018207e-01  1.19269036e-01
  1.40801325e-01  1.26716778e-01  1.10000618e-01  8.26269612e-02
  7.09338412e-02  7.28912279e-02  5.02303615e-02  4.86807525e-02
  4.95323725e-02  5.63064553e-02  9.58252102e-02  9.97230709e-02]","[5.54619312e+00 3.46296844e+01 8.18545232e-10 2.63228029e-01
 4.60278317e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.50136280e+00 1.02122225e-01 1.39515042e-01 0.00000000e+00
 9.55749676e-02 2.82572806e-02 2.21632086e-02 2.16371901e-02
 2.11557541e-02 2.29513552e-02 1.85856074e-02 1.16959102e-02
 5.90034109e-03 3.37106595e-03 1.34668115e-03 8.24795803e-04
 6.96006930e-04 2.11215040e-04 1.68983340e-02 8.58965591e-02
 6.29107282e-02 6.20359443e-02 5.50413765e-02 6.12388700e-02
 5.96494004e-02 6.46819323e-02 5.86490221e-02 6.52382597e-02
 6.82670325e-02 7.42570385e-02 8.95106420e-02 8.89277607e-02
 8.27165768e-02 7.82503858e-02 7.77773336e-02 6.84363917e-02
 2.92144082e-02 3.35800275e-02 4.63331193e-02 4.96963933e-02
 7.24870414e-02 5.92834800e-02 5.04628569e-02 3.78556699e-02
 4.27776873e-02 4.90935110e-02 3.34848240e-02 3.18722688e-02
 3.17688435e-02 3.52103226e-02 5.75056449e-02 5.14561906e-02]",[0.3055472  0.38864413],[0.43806615 0.50141877],17.482876,9.0,0.017482875,0.008273655,0.009,0.008919,False,True,1000
"[ 0.14576502  0.07763506  9.809972    0.2734924  -0.06983174  0.
  0.          0.          1.9737967  -0.05118852 -0.02338529  0.
  0.22678258  0.09383298  0.06251447  0.06009529  0.05514988  0.04879004
  0.04454448  0.03959278  0.04066477  0.04212506  0.03699054  0.03417268
  0.0333482   0.03119521  0.06453364  0.21472436  0.3341801   0.3919319
  0.39034808  0.38729605  0.3708353   0.3655146   0.33890933  0.2911526
  0.2943027   0.34184957  0.34314907  0.3181346   0.34663215  0.3664108
  0.37138698  0.34179813  0.04877392  0.0405848   0.07473637  0.08829657
  0.06813888  0.08089504  0.07653114  0.05341822  0.04779507  0.04385999
  0.04234315  0.04296703  0.04539017  0.0514383   0.06839032  0.07063906]","[5.89248848e+00 2.25369606e+01 8.18545232e-10 2.76647925e-01
 7.99405575e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.93992567e+00 1.13590844e-01 1.33242041e-01 0.00000000e+00
 8.63843784e-02 3.07906941e-02 2.55797394e-02 2.43890360e-02
 2.27063186e-02 2.04859544e-02 1.94001384e-02 1.67548358e-02
 1.66415274e-02 1.70238931e-02 1.35621456e-02 1.25591923e-02
 1.20347831e-02 1.16662309e-02 2.02882327e-02 8.17195326e-02
 7.41634890e-02 8.68089274e-02 8.13253075e-02 7.57123679e-02
 8.42442662e-02 9.34948251e-02 9.06035751e-02 8.34704489e-02
 8.26384202e-02 9.78279188e-02 9.89895239e-02 8.39723945e-02
 8.34425986e-02 8.50900114e-02 8.39462802e-02 7.38777742e-02
 1.56379361e-02 1.34150805e-02 2.58421414e-02 3.28400284e-02
 2.63552163e-02 3.63987312e-02 3.31918038e-02 2.15954930e-02
 2.08687130e-02 1.94160249e-02 1.86230354e-02 1.91976130e-02
 1.98718086e-02 2.05397401e-02 2.79254857e-02 2.61868034e-02]",[0.16373965 0.65026724],[0.36792454 0.32216194],12.174847,59.0,0.012174847,0.0062298616,0.059,0.05551899,False,True,1000
"[-0.01201771 -0.18015     9.809972    0.23068038  0.02843584  0.
  0.          0.          1.8061402  -0.01912776 -0.03260667  0.
  0.25975046  0.08993885  0.05071124  0.05303634  0.05811807  0.06267896
  0.06474555  0.06660306  0.06561534  0.06352973  0.05412888  0.03925364
  0.03010487  0.03164543  0.03800006  0.21448869  0.33663654  0.3869946
  0.3908092   0.3613513   0.36622894  0.35950223  0.3127137   0.2604424
  0.27584952  0.32775217  0.36630103  0.34467363  0.34473205  0.3386356
  0.31979024  0.30616695  0.06085415  0.04233996  0.05217179  0.06575689
  0.05185754  0.04149317  0.04646606  0.07582993  0.09918711  0.0739786
  0.05054457  0.05526526  0.06591205  0.09498428  0.09840187  0.0757471 ]","[5.9424620e+00 2.5975340e+01 8.1854523e-10 2.9884067e-01 7.8108564e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.3880770e+00 1.1894054e-01
 1.2963051e-01 0.0000000e+00 1.0961382e-01 2.5110042e-02 2.1263152e-02
 2.1459376e-02 2.5560439e-02 2.9731102e-02 3.0089138e-02 3.0277872e-02
 2.8808294e-02 2.9219076e-02 2.5617359e-02 1.9132145e-02 1.3822791e-02
 1.8460140e-02 1.5090740e-02 8.2947068e-02 8.4757589e-02 1.0060206e-01
 8.8537030e-02 8.6626001e-02 9.2442006e-02 9.6717536e-02 8.9724533e-02
 7.3036551e-02 7.7654421e-02 7.8521207e-02 8.7660544e-02 8.3013475e-02
 8.2180873e-02 8.0861576e-02 7.8503810e-02 7.3591866e-02 2.8119829e-02
 1.6532250e-02 1.6555296e-02 2.2143330e-02 1.7677592e-02 1.6880706e-02
 1.8049397e-02 3.0819878e-02 4.5897678e-02 3.0275116e-02 2.2477729e-02
 2.4163533e-02 2.8295953e-02 3.2363288e-02 3.4450404e-02 2.8451536e-02]",[0.10903364 0.59588027],[0.4240806  0.37009767],14.454601,15.0,0.014454601,0.008253434,0.015,0.014775001,False,True,1000
"[ 1.70874238e-01  1.54018432e-01  9.80997181e+00  3.50746304e-01
 -6.01437408e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.49176562e+00  4.21739295e-02 -1.23796426e-01  0.00000000e+00
  3.13424647e-01  1.04038738e-01  6.62502199e-02  6.15002029e-02
  5.98910898e-02  6.09812774e-02  6.06332347e-02  5.16520999e-02
  4.01297435e-02  3.05527821e-02  1.90979298e-02  1.28725115e-02
  1.68203637e-02  3.66161652e-02  8.70958269e-02  3.05129200e-01
  3.46498698e-01  3.67626458e-01  3.36450458e-01  2.69702166e-01
  3.11511755e-01  2.89442301e-01  2.33293876e-01  2.13769153e-01
  2.12364957e-01  2.26185605e-01  2.61210382e-01  3.47022533e-01
  3.47680777e-01  3.37116569e-01  3.16511393e-01  3.07464957e-01
  3.27295437e-02  3.69447023e-02  7.12456554e-02  7.44040161e-02
  4.79914062e-02  6.20683655e-02  5.47073148e-02  3.02786957e-02
  2.57681850e-02  3.47672887e-02  5.07665500e-02  1.06144860e-01
  1.35185465e-01  7.49400556e-02  3.25969458e-02  3.14431004e-02]","[5.79576921e+00 2.87425804e+01 8.18545232e-10 2.91547090e-01
 6.04166053e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.08496380e+00 8.56208429e-02 1.47274867e-01 0.00000000e+00
 1.14901260e-01 3.51178795e-02 2.96854172e-02 2.75491402e-02
 2.68802978e-02 2.75152847e-02 2.79024299e-02 2.38714200e-02
 1.84020549e-02 1.45762395e-02 8.97635892e-03 6.82509318e-03
 8.02943576e-03 2.00600699e-02 3.33735421e-02 1.06827155e-01
 6.74278513e-02 6.71273321e-02 7.94911832e-02 7.04297721e-02
 8.32802430e-02 9.10553336e-02 7.55500942e-02 6.93324804e-02
 7.04032257e-02 6.99886456e-02 6.45488054e-02 6.32491559e-02
 6.28256574e-02 6.47088438e-02 6.20517805e-02 6.21791631e-02
 1.18232016e-02 1.28761390e-02 2.70742755e-02 2.86719464e-02
 1.71075761e-02 2.47639865e-02 2.33406536e-02 1.07711740e-02
 9.37766582e-03 1.14944726e-02 1.62766017e-02 2.51557417e-02
 3.40669043e-02 1.73926894e-02 1.07443081e-02 1.10297045e-02]",[0.20099366 0.49018916],[0.4555214  0.44994202],16.019587,10.0,0.016019586,0.009284631,0.01,0.009900001,False,True,1000
"[-0.03324782  0.04224795  9.809972    0.15244538  0.02316314  0.
  0.          0.          2.1300623   0.0744115  -0.03415398  0.
  0.16644938  0.10184114  0.06100024  0.05648901  0.05272102  0.05042893
  0.05417725  0.06800834  0.07756418  0.06958948  0.0608154   0.05708485
  0.0544449   0.07399502  0.0902871   0.14002268  0.36473802  0.30756968
  0.33655155  0.35897702  0.35276315  0.34746078  0.32614282  0.2924476
  0.2815563   0.31127018  0.35036033  0.35793123  0.3496408   0.3649012
  0.35449263  0.35458228  0.04221393  0.0480787   0.06895233  0.08077513
  0.08821363  0.10156754  0.07979816  0.05758603  0.05526006  0.04916532
  0.04559124  0.04606512  0.04706194  0.04957619  0.06183277  0.05611013]","[6.1356459e+00 2.2051762e+01 8.1854523e-10 2.5334594e-01 9.4267309e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3657441e+00 1.3803835e-01
 1.0525807e-01 0.0000000e+00 8.3727166e-02 4.0661365e-02 2.9748039e-02
 2.7022652e-02 2.4998037e-02 2.4286376e-02 2.6388166e-02 3.3443764e-02
 3.7860408e-02 3.3381652e-02 2.8896498e-02 2.8151408e-02 2.4859788e-02
 3.2757163e-02 3.9294217e-02 5.0951041e-02 7.5134024e-02 7.9906374e-02
 7.7281252e-02 7.6171950e-02 7.8954227e-02 8.3210118e-02 7.6712593e-02
 8.8440329e-02 8.2732245e-02 8.0090076e-02 8.4137328e-02 8.8858485e-02
 8.2944937e-02 9.1855772e-02 8.2850210e-02 8.6812153e-02 1.7042909e-02
 1.8800881e-02 2.5590008e-02 3.0371867e-02 2.8495820e-02 3.8598280e-02
 2.8518792e-02 2.5101209e-02 2.3469100e-02 2.0472219e-02 1.9589359e-02
 1.9431887e-02 2.0772567e-02 1.9810768e-02 2.6912469e-02 2.1933846e-02]",[0.05450755 0.69921875],[0.4354525  0.25978896],10.829969,11.0,0.010829969,0.007201031,0.011,0.010879,False,True,1000
"[ 3.1121844e-01  6.4371534e-02  9.8099718e+00  5.3243971e-01
 -1.2161178e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.5257001e+00  5.4244924e-02 -2.9420862e-02  0.0000000e+00
  3.2840991e-01  1.3234504e-01  6.5101638e-02  6.1077796e-02
  5.5573344e-02  4.5933876e-02  4.3008074e-02  3.8457520e-02
  2.7556960e-02  2.0337291e-02  1.7921602e-02  1.1715092e-02
  6.5906011e-03  1.2505942e-02  6.7467578e-02  2.8925723e-01
  3.4697065e-01  3.9471802e-01  4.2440549e-01  4.4376528e-01
  4.6055603e-01  4.2692301e-01  3.7739018e-01  3.2620999e-01
  2.8899685e-01  3.4383211e-01  3.9672723e-01  3.7731048e-01
  3.5220718e-01  4.1491631e-01  3.5648215e-01  3.1754008e-01
  6.4779520e-02  9.7634442e-02  1.4110079e-01  1.7725120e-01
  1.6163334e-01  9.3778022e-02  6.3179910e-02  4.9315289e-02
  4.2466022e-02  4.7955804e-02  5.6782451e-02  6.2079910e-02
  7.5616539e-02  9.8170750e-02  8.1681438e-02  6.1054669e-02]","[4.9612942e+00 3.5052223e+01 8.1854523e-10 3.3589303e-01 7.6565258e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6343966e+00 1.5165180e-01
 9.4540149e-02 0.0000000e+00 1.0835025e-01 4.2733461e-02 2.8816605e-02
 2.6844872e-02 2.5213111e-02 2.0859592e-02 2.0284105e-02 1.9376231e-02
 1.2513685e-02 9.2034675e-03 8.2113752e-03 4.5966734e-03 2.0204207e-03
 3.2022882e-03 1.7873799e-02 8.8098951e-02 4.9160659e-02 5.1252276e-02
 4.9356081e-02 4.7516230e-02 4.3718606e-02 5.6033164e-02 6.4299576e-02
 6.6934124e-02 7.0669815e-02 8.0662012e-02 8.8033460e-02 8.7430805e-02
 7.6429404e-02 7.0687048e-02 5.9381176e-02 5.6213632e-02 3.5955690e-02
 4.5481522e-02 6.1637007e-02 7.9762183e-02 7.4259855e-02 4.6715088e-02
 3.4885984e-02 2.6472906e-02 2.0188510e-02 2.4762662e-02 2.9210063e-02
 3.5696227e-02 3.7648052e-02 4.7367867e-02 4.2984474e-02 2.6762193e-02]",[0.32842967 0.50380373],[0.43690246 0.39806765],20.089352,11.0,0.020089353,0.010279307,0.011,0.010879001,False,True,1000
"[-9.35068950e-02 -2.02741131e-01  9.80997181e+00  1.03943445e-01
  5.30373454e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.14962554e+00 -7.63811767e-02 -8.15608446e-03  0.00000000e+00
  1.25621125e-01  5.75536788e-02  4.30911519e-02  4.47419360e-02
  4.31969240e-02  3.76983322e-02  3.52057368e-02  3.59118581e-02
  3.15013304e-02  2.50789560e-02  2.34230962e-02  2.12813839e-02
  1.90494508e-02  1.90721657e-02  4.62721810e-02  1.26022711e-01
  2.31541052e-01  1.96813285e-01  1.96525708e-01  2.17829779e-01
  2.10312635e-01  1.94296718e-01  1.89541221e-01  1.88002944e-01
  1.87894210e-01  2.04317629e-01  2.17927679e-01  2.21189544e-01
  2.16279849e-01  2.39843816e-01  2.40033835e-01  2.50422180e-01
  1.06723430e-02  1.66472383e-02  1.67971253e-02  9.31386929e-03
  6.28478173e-03  5.14623756e-03  5.61505090e-03  5.93381375e-03
  5.89315780e-03  5.78837236e-03  1.11447573e-02  2.63519287e-02
  2.92676277e-02  1.51590090e-02  7.95472506e-03  9.28910729e-03]","[6.47704554e+00 2.24508514e+01 8.18545232e-10 2.03125134e-01
 4.30450886e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.26756477e+00 1.13256805e-01 1.30842716e-01 0.00000000e+00
 5.08526191e-02 1.83091424e-02 1.48541378e-02 1.60876196e-02
 1.54516846e-02 1.30175995e-02 1.20711057e-02 1.19139906e-02
 9.48189292e-03 6.66067144e-03 6.21834490e-03 5.04276808e-03
 3.33981938e-03 3.54350428e-03 9.19011142e-03 5.19187562e-02
 7.21932501e-02 6.61369339e-02 7.03615993e-02 8.10535923e-02
 7.80041516e-02 6.80653080e-02 6.95177019e-02 7.07710907e-02
 7.25963861e-02 6.92654476e-02 7.58918226e-02 7.69079328e-02
 7.27303624e-02 8.00756738e-02 7.26049542e-02 8.00857320e-02
 2.23612087e-03 3.13382549e-03 3.05889477e-03 1.65272353e-03
 1.03042251e-03 7.59124174e-04 9.08954418e-04 9.99860698e-04
 9.79159609e-04 9.43315914e-04 2.00385740e-03 5.18908771e-03
 6.07057335e-03 2.25132098e-03 1.51759642e-03 1.98932458e-03]",[0.0404513 0.7099315],[0.36497316 0.24371661],5.0835843,16.0,0.005083584,0.0031814924,0.016,0.015743997,False,True,1000
"[ 2.8345722e-01  2.6599762e-01  9.8099718e+00  5.1541895e-01
 -6.3905984e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.0604991e+00  3.8227417e-02 -2.9158490e-02  0.0000000e+00
  3.2168940e-01  7.2460294e-02  3.8635250e-02  3.6015097e-02
  3.0953150e-02  1.9384183e-02  9.4541609e-03  5.7469546e-03
  2.8016376e-03  1.7101326e-03  1.8604049e-03  2.0310916e-03
  2.5349725e-03  1.0730181e-02  7.7434905e-02  3.3728606e-01
  3.9570102e-01  4.4123754e-01  4.1897041e-01  4.1747704e-01
  3.9280424e-01  3.3668280e-01  2.5710830e-01  1.8644987e-01
  2.0022932e-01  2.2215554e-01  2.1895579e-01  2.3669405e-01
  2.9436022e-01  3.4443578e-01  3.1502673e-01  2.9223943e-01
  5.3705528e-02  5.8472328e-02  4.8921075e-02  5.4811426e-02
  6.4754628e-02  8.1608988e-02  1.0193295e-01  5.9316650e-02
  1.9805685e-02  1.8358972e-02  1.8006688e-02  1.9029874e-02
  2.2742754e-02  4.1849814e-02  7.5267941e-02  7.1689256e-02]","[5.60756063e+00 3.62433510e+01 8.18545232e-10 2.41093546e-01
 5.58208488e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.60817719e+00 1.44485980e-01 1.03202380e-01 0.00000000e+00
 9.24678072e-02 1.78435277e-02 1.40999658e-02 1.31874271e-02
 1.24944681e-02 7.00754952e-03 2.42738402e-03 1.60870724e-03
 4.84499848e-04 1.77766793e-04 2.09487262e-04 2.44454539e-04
 3.11706332e-04 2.42016371e-03 2.01804843e-02 8.90453756e-02
 7.80677497e-02 7.59109408e-02 8.40258971e-02 8.95956755e-02
 8.68704021e-02 8.67502615e-02 8.82180780e-02 6.77064359e-02
 7.19235614e-02 8.37919712e-02 8.23536739e-02 7.72895813e-02
 8.37377533e-02 9.69422087e-02 8.67490694e-02 7.30339661e-02
 1.77642684e-02 2.16214918e-02 1.81590542e-02 1.75546966e-02
 2.14781165e-02 3.22259739e-02 4.37333100e-02 2.46217400e-02
 1.11448765e-02 1.07889995e-02 1.05449017e-02 1.03156827e-02
 1.16707329e-02 1.73396356e-02 2.88332999e-02 2.26658750e-02]",[0.3295975  0.34800228],[0.38154143 0.5114601 ],14.197096,17.0,0.014197096,0.0073379814,0.017,0.016711002,False,True,1000
"[ 0.02610083 -0.2866724   9.809972    0.16792597  0.0115945   0.
  0.          0.          2.1700985   0.04333488  0.01715907  0.
  0.21278304  0.11191998  0.07281841  0.06483166  0.05674234  0.05473563
  0.05445923  0.05318611  0.05162585  0.0534991   0.05310939  0.04553008
  0.04357337  0.0450312   0.06394617  0.1803241   0.3256213   0.3199111
  0.2957678   0.27724883  0.28730977  0.2794692   0.25785607  0.23651294
  0.2464761   0.2600286   0.2682846   0.28464296  0.28940657  0.31340128
  0.30359226  0.31226704  0.10090026  0.1070873   0.10174138  0.111515
  0.13574784  0.10410314  0.06068111  0.06058454  0.06449836  0.06257794
  0.05777696  0.05272646  0.06155959  0.08407407  0.07756779  0.07780485]","[6.3183551e+00 1.8064930e+01 8.1854523e-10 2.3258640e-01 5.3137954e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2063508e+00 1.3243851e-01
 1.1538932e-01 0.0000000e+00 9.1076359e-02 3.6320429e-02 3.1406850e-02
 2.9043788e-02 2.4364673e-02 2.3632620e-02 2.3297068e-02 2.2442885e-02
 2.1557404e-02 2.2534207e-02 2.3083836e-02 1.9494675e-02 1.9054895e-02
 2.0197844e-02 2.6219143e-02 7.2736375e-02 8.2694419e-02 8.1338227e-02
 7.5936995e-02 7.9116903e-02 8.4441312e-02 8.9279361e-02 8.1065513e-02
 7.8289539e-02 8.1916124e-02 8.4862083e-02 8.5409924e-02 8.1490763e-02
 8.1970200e-02 9.2011191e-02 8.3906539e-02 7.6421484e-02 5.2350115e-02
 5.5387296e-02 5.4276466e-02 5.3487979e-02 7.0639923e-02 4.9365867e-02
 2.8445775e-02 2.9825691e-02 3.1794131e-02 3.0858554e-02 2.8671920e-02
 2.5375489e-02 2.7004542e-02 3.5987843e-02 3.2714806e-02 3.8149141e-02]",[0.07076161 0.7188986 ],[0.3647279  0.23737414],8.099662,13.0,0.008099662,0.0041884757,0.013,0.012830998,False,True,1000
"[ 1.03288904e-01  8.50789696e-02  9.80997181e+00  2.14988008e-01
 -4.26207185e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.01638651e+00  2.73096208e-02 -4.08989079e-02  0.00000000e+00
  1.72556147e-01  6.27022907e-02  4.05436829e-02  3.34993675e-02
  2.74073500e-02  2.75054350e-02  2.68516950e-02  1.77474264e-02
  7.69436546e-03  4.05303109e-03  3.14996601e-03  3.48609965e-03
  3.84634151e-03  4.79559042e-03  2.80022323e-02  1.56262502e-01
  2.34725296e-01  2.33822137e-01  2.26121783e-01  2.78140455e-01
  2.86929250e-01  2.33506441e-01  1.98688254e-01  1.80660248e-01
  1.73170865e-01  1.77444026e-01  1.83755845e-01  2.03384638e-01
  2.22014546e-01  2.25530699e-01  2.24009871e-01  2.28221983e-01
  4.19255532e-02  6.35846257e-02  1.09603256e-01  1.03128195e-01
  6.23965450e-02  5.13782650e-02  4.00471501e-02  2.83267293e-02
  3.44163142e-02  5.26733547e-02  5.38874269e-02  4.28205542e-02
  3.91085334e-02  3.39245945e-02  3.49547677e-02  4.05032784e-02]","[6.55946445e+00 2.56512833e+01 8.18545232e-10 2.24297270e-01
 3.41057032e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.49779940e+00 1.06546864e-01 1.41034633e-01 0.00000000e+00
 8.56336728e-02 2.00312492e-02 1.66851655e-02 1.33626461e-02
 1.03233773e-02 1.05984472e-02 1.11364070e-02 6.61944691e-03
 2.57187244e-03 7.26476894e-04 3.47063033e-04 4.10742796e-04
 4.66281257e-04 6.41780091e-04 8.56283866e-03 7.73825571e-02
 6.32421896e-02 6.02630824e-02 5.05533107e-02 7.45462999e-02
 7.67711699e-02 7.40922913e-02 6.69370964e-02 6.22611567e-02
 6.42125607e-02 6.31851032e-02 6.62250519e-02 7.03572035e-02
 7.33373612e-02 7.22430423e-02 7.15912804e-02 6.28253743e-02
 1.48631018e-02 2.54313443e-02 4.32367586e-02 4.01663855e-02
 2.06674114e-02 1.97956897e-02 1.37377447e-02 9.83681064e-03
 1.13409366e-02 2.46336889e-02 2.45026220e-02 1.79053042e-02
 1.56815145e-02 1.29451966e-02 1.31207528e-02 1.50207244e-02]",[0.13821024 0.66548294],[0.41163847 0.27111095],6.9323964,8.0,0.0069323964,0.005285136,0.008,0.007936,False,True,1000
"[ 1.7874626e-02 -1.5006560e-01  9.8099718e+00  2.1113816e-01
  4.1277956e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.8846128e+00 -1.1038139e-02 -7.9184053e-03  0.0000000e+00
  2.4025725e-01  8.8049114e-02  6.6026136e-02  6.8556570e-02
  6.3435972e-02  5.4613415e-02  5.1767070e-02  4.6597291e-02
  4.2821873e-02  4.1771840e-02  4.0335935e-02  3.6985029e-02
  3.1711854e-02  2.6701769e-02  5.0043676e-02  2.2312459e-01
  2.4935435e-01  3.1628877e-01  3.2016465e-01  2.7933893e-01
  2.6780075e-01  2.7529931e-01  2.9943067e-01  2.6938576e-01
  2.4312890e-01  2.9330266e-01  2.6928172e-01  2.6138562e-01
  2.7646551e-01  3.0998078e-01  3.1805772e-01  2.5219116e-01
  2.6217181e-02  3.6315244e-02  3.7383083e-02  2.3028193e-02
  1.3468139e-02  1.3807502e-02  3.0632589e-02  7.8769684e-02
  8.9476824e-02  4.5821600e-02  2.2170927e-02  2.7109634e-02
  3.5882521e-02  3.3619978e-02  2.7632747e-02  2.4392104e-02]","[5.9249425e+00 2.4273451e+01 8.1854523e-10 2.9798266e-01 7.8591168e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.2461843e+00 1.3893464e-01
 1.1088081e-01 0.0000000e+00 9.6937597e-02 3.1843454e-02 2.8220661e-02
 3.0694759e-02 2.9446647e-02 2.4292728e-02 2.3756547e-02 2.0405449e-02
 1.7543087e-02 1.6856072e-02 1.6816128e-02 1.5475540e-02 1.2738877e-02
 1.0514900e-02 1.4703991e-02 8.8135526e-02 6.0124945e-02 7.2886795e-02
 6.9937207e-02 7.6237485e-02 7.4458614e-02 7.5652517e-02 7.9191841e-02
 7.5351141e-02 7.2687440e-02 7.5919300e-02 7.6671511e-02 7.6935522e-02
 7.9951219e-02 7.5627297e-02 7.1822956e-02 6.1086722e-02 8.9847744e-03
 1.1558619e-02 1.3391171e-02 7.2009927e-03 3.5160545e-03 3.5015144e-03
 8.7315766e-03 3.4134641e-02 4.0391840e-02 1.9164912e-02 1.3008861e-02
 1.3046143e-02 1.8385520e-02 1.6916974e-02 1.2793421e-02 1.0103384e-02]",[0.1259616 0.6196661],[0.42048892 0.35525537],12.814459,16.0,0.012814458,0.0072341347,0.016,0.015743999,False,True,1000
"[-2.1268280e-02  8.9434430e-02  9.8099718e+00  1.0406290e-01
  2.5125755e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.1330726e+00 -1.3495405e-02 -1.0780572e-02  0.0000000e+00
  1.1624290e-01  4.4949606e-02  2.3742951e-02  2.4412412e-02
  2.3401270e-02  2.1784225e-02  1.9233651e-02  1.6582763e-02
  1.4087573e-02  1.2537488e-02  1.2208557e-02  1.0605507e-02
  9.5041385e-03  9.5877945e-03  2.9418318e-02  1.0737960e-01
  2.5512391e-01  2.4810189e-01  2.2848926e-01  2.1350721e-01
  1.9591652e-01  1.9637087e-01  1.8476531e-01  1.5389952e-01
  1.3597621e-01  1.4647092e-01  1.8523209e-01  2.1248211e-01
  2.0794041e-01  1.9909529e-01  1.7097884e-01  2.0265412e-01
  1.1644966e-01  1.2839845e-01  8.5555017e-02  5.8072153e-02
  6.0423728e-02  5.4997236e-02  4.8719253e-02  5.2466828e-02
  1.0123126e-01  1.1482949e-01  6.8676926e-02  5.3316623e-02
  5.7103917e-02  5.8453102e-02  6.0923379e-02  7.8549370e-02]","[6.6697125e+00 2.0226988e+01 8.1854523e-10 1.7810456e-01 4.4379320e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3545077e+00 1.1460401e-01
 1.3509762e-01 0.0000000e+00 5.6326453e-02 1.2835424e-02 8.2968557e-03
 8.7598823e-03 8.1025334e-03 7.7019213e-03 6.4333533e-03 5.8066770e-03
 4.6803262e-03 4.2003305e-03 3.9167013e-03 3.3270977e-03 3.0388143e-03
 3.1011140e-03 8.8313371e-03 4.2800866e-02 8.0158122e-02 8.1699014e-02
 7.4413225e-02 6.9434188e-02 6.6438474e-02 6.9664560e-02 6.4876445e-02
 4.9373731e-02 4.8227344e-02 5.1342741e-02 5.9441589e-02 6.9584638e-02
 7.0393212e-02 6.9565989e-02 5.4582078e-02 6.0867649e-02 4.4726688e-02
 5.7845034e-02 3.5471149e-02 2.5677662e-02 2.7899787e-02 2.6312603e-02
 2.2609197e-02 2.3638979e-02 4.6846140e-02 5.9641473e-02 2.9653933e-02
 2.6067043e-02 2.9243736e-02 3.0367931e-02 2.9702356e-02 3.4356095e-02]",[0.06313628 0.69950974],[0.3368349  0.26189706],2.115044,7.0,0.002115044,0.0021638053,0.007,0.0069509987,False,True,1000
